ds,yhat_lower,yhat_upper
2020-11-26 12:00:00,12796.069591267778,16518.820206702476
2020-11-27 00:00:00,12968.671313771081,16691.421929205782
2020-11-27 12:00:00,13112.06847447245,16834.81908990715
2020-11-28 00:00:00,13229.75961332753,16952.51022876223
2020-11-28 12:00:00,13325.001967183358,17047.752582618057
2020-11-29 00:00:00,13400.823112226646,17123.573727661344
2020-11-29 12:00:00,13460.032184038997,17182.782799473694
2020-11-30 00:00:00,13505.230687198115,17227.981302632812
2020-11-30 12:00:00,13538.822906096457,17261.573521531158
2020-12-01 00:00:00,13563.025928385809,17285.77654382051
2020-12-01 12:00:00,13579.87929219815,17302.62990763285
2020-12-02 00:00:00,13591.254268039627,17314.00488347433
2020-12-02 12:00:00,13598.862786005533,17321.613401440234
2020-12-03 00:00:00,13604.266018719769,17327.01663415447
2020-12-03 12:00:00,13608.882630162323,17331.633245597022
2020-12-04 00:00:00,13613.996700312711,17336.74731574741
2020-12-04 12:00:00,13620.765335306152,17343.515950740853
2020-12-05 00:00:00,13630.225972572176,17352.976588006873
2020-12-05 12:00:00,13643.303390202704,17366.0540056374
2020-12-06 00:00:00,13660.816429577939,17383.567045012638
2020-12-06 12:00:00,13683.484440063907,17406.235055498604
2020-12-07 00:00:00,13711.933454384929,17434.68406981963
2020-12-07 12:00:00,13746.702103067764,17469.452718502464
2020-12-08 00:00:00,13788.247276151502,17510.9978915862
2020-12-08 12:00:00,13836.949540158457,17559.700155593157
2020-12-09 00:00:00,13893.118318126295,17615.868933560996
2020-12-09 12:00:00,13956.996840310347,17679.747455745048
2020-12-10 00:00:00,14028.766872977376,17751.517488412075
2020-12-10 12:00:00,14108.55323252816,17831.30384796286
2020-12-11 00:00:00,14196.42809200571,17919.17870744041
2020-12-11 12:00:00,14292.415086869087,18015.165702303784
2020-12-12 00:00:00,14396.493226739301,18119.243842174
2020-12-12 12:00:00,14508.600619653662,18231.35123508836
2020-12-13 00:00:00,14628.63801519826,18351.38863063296
2020-12-13 12:00:00,14756.472172724898,18479.222788159597
2020-12-14 00:00:00,14891.939060698543,18614.689676133243
2020-12-14 12:00:00,15034.846893064398,18757.597508499097
2020-12-15 00:00:00,15184.979008369992,18907.72962380469
2020-12-15 12:00:00,15342.09659722682,19064.84721266152
2020-12-16 00:00:00,15505.941283548524,19228.691898983223
2020-12-16 12:00:00,15676.237564857813,19398.988180292512
2020-12-17 00:00:00,15852.695116812782,19575.44573224748
2020-12-17 12:00:00,16035.010966964292,19757.76158239899
2020-12-18 00:00:00,16222.87154262037,19945.62215805507
2020-12-18 12:00:00,16415.954597560198,20138.705212994897
2020-12-19 00:00:00,16613.931022210196,20336.681637644895
2020-12-19 12:00:00,16816.466541766884,20539.217157201583
2020-12-20 00:00:00,17023.223306626343,20745.973922061043
2020-12-20 12:00:00,17233.861379357877,20956.611994792576
2020-12-21 00:00:00,17448.040122339535,21170.790737774234
2020-12-21 12:00:00,17665.419490056403,21388.170105491103
2020-12-22 00:00:00,17885.661229947647,21608.411845382347
2020-12-22 12:00:00,18108.429995576014,21831.180611010714
2020-12-23 00:00:00,18333.39437578436,22056.14499121906
2020-12-23 12:00:00,18560.22784339568,22282.97845883038
2020-12-24 00:00:00,18788.609626908725,22511.360242343424
2020-12-24 12:00:00,19018.225508538228,22740.976123972927
2020-12-25 00:00:00,19248.76855184874,22971.51916728344
